"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"186",0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0
"187",0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0
"188",0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0
"189",1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
"190",0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"191",0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"192",0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"193",0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
"195",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"196",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0
"197",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0
"198",12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0
"199",1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0
"200",0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0
"201",0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0
"202",4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0
"203",0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0
"204",0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0
"205",0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0
"206",0,0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1
"207",0,0,0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1
"208",0,0,0,0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0
"209",0,0,0,0,0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
"210",2,0,0,0,0,0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"211",6,2,0,0,0,0,0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"212",0,6,2,0,0,0,0,0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"213",0,0,6,2,0,0,0,0,0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"214",5,0,0,6,2,0,0,0,0,0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0
